census_tract,Surge_threshold,Rain_threshold,alpha_d,alpha_a,alpha_p,alpha_r,mew_a,mew_p,U_rate,POT_S_max,POT_R_max
36061019500,0.00,0.10,25.00,0.00,0.00,0.99,0.21,0.03,0.01,0.92,0.01
36061019900,2.09,0.08,14.80,24.87,7.54,0.92,0.15,1.41,2.45,0.48,0.10
36061020500,2.52,0.08,18.81,15.78,3.80,0.69,0.21,1.24,1.37,0.83,0.11
36061021100,2.64,0.08,16.96,5.98,5.16,0.15,0.21,1.06,1.44,2.51,0.09
36061021900,1.60,0.11,25.00,0.00,0.00,1.00,0.14,0.10,0.01,0.00,0.00
36061022301,2.53,0.07,16.79,10.80,4.85,0.18,0.15,1.78,1.09,2.86,0.02
36061022302,3.20,0.08,10.16,1.35,4.62,0.38,0.18,0.99,1.94,1.64,0.07
36061022500,2.38,0.08,12.26,20.86,10.00,0.69,0.18,1.00,1.35,0.74,0.11
36061022900,2.05,0.12,25.00,0.00,0.10,0.84,0.31,0.03,0.01,0.03,0.00
36061023300,3.50,0.11,25.00,5.68,4.23,0.00,0.21,1.63,0.01,3.50,0.02
36061023700,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
36061024100,1.95,0.08,12.95,7.54,0.26,0.55,0.18,0.49,0.73,3.31,0.04
36061024700,3.50,0.11,25.00,0.00,0.00,1.00,0.36,0.30,0.01,3.50,0.00
36061025500,0.17,0.02,25.00,0.00,0.00,1.00,0.21,0.04,0.01,1.12,0.06
36061026500,0.25,0.11,25.00,0.00,0.00,0.62,0.28,0.03,0.01,0.90,0.00
36061027300,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
36061027500,2.63,0.10,22.32,11.85,0.19,0.68,0.18,0.06,1.64,0.91,0.08
36061028700,1.42,0.14,25.00,0.00,0.01,1.00,0.21,0.14,0.01,0.00,0.14
36061031703,3.45,0.10,13.86,19.14,2.80,0.73,0.10,0.31,1.58,3.15,0.12
36061031704,3.02,0.11,14.01,2.59,1.60,0.05,0.08,0.00,0.57,0.01,0.14
36071000100,3.27,0.08,23.53,6.53,10.00,0.00,0.17,0.34,0.27,1.74,0.01
36071000400,2.08,0.15,15.91,0.00,2.89,0.86,0.13,0.07,0.50,2.25,0.15
36071000501,1.69,0.09,10.23,24.89,4.81,0.31,0.29,1.95,0.87,2.34,0.12
36071000502,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
36071010102,1.71,0.09,13.41,9.92,1.39,0.02,0.08,0.00,0.51,3.50,0.14
36071010200,2.69,0.07,24.86,12.29,0.85,0.61,0.10,0.97,1.76,1.22,0.08
36071012700,1.11,0.08,25.00,0.20,0.00,0.11,0.19,0.03,0.01,3.50,0.13
36071012800,2.72,0.06,9.76,4.50,7.47,0.93,0.08,0.80,2.56,1.14,0.13
36071012900,1.63,0.08,15.35,25.00,0.74,0.04,0.09,0.03,0.53,1.66,0.05
36071013100,1.69,0.08,12.19,25.00,1.11,0.00,0.07,0.00,0.61,0.27,0.07
36071013600,0.21,0.11,10.52,23.52,1.43,0.70,0.20,1.78,0.32,1.69,0.15
36071013700,1.76,0.14,25.00,0.13,2.23,0.20,0.15,2.00,0.01,3.50,0.00
36071013800,2.75,0.13,9.38,22.60,8.87,0.79,0.09,1.49,2.33,3.38,0.10
36079010600,1.91,0.15,13.34,14.64,5.92,0.25,0.06,0.01,0.48,0.01,0.15
36079010700,1.85,0.15,12.75,0.46,5.63,0.24,0.06,0.01,0.32,1.26,0.15
36079010800,1.91,0.15,10.13,2.76,2.35,1.00,0.05,0.12,0.97,0.14,0.15
36081091601,2.11,0.13,10.33,24.51,0.15,0.37,0.09,0.07,0.53,0.05,0.15
36081099703,3.50,0.08,13.41,0.00,2.14,0.20,0.08,0.00,0.64,3.50,0.03
36081099705,1.76,0.08,13.41,3.02,1.72,0.54,0.08,0.00,0.65,0.00,0.14
36081109300,1.91,0.12,12.88,25.00,0.79,0.51,0.08,0.04,0.70,0.01,0.00
36081111300,2.51,0.12,18.28,7.41,8.18,0.64,0.07,0.00,2.42,3.50,0.06
36081148300,2.00,0.15,6.22,11.13,10.00,0.01,0.01,0.41,0.02,2.45,0.15
36083040400,2.70,0.09,19.50,9.79,9.19,0.18,0.09,0.38,2.50,1.43,0.02
36083040700,1.91,0.15,15.13,0.13,5.98,0.21,0.07,0.06,0.25,0.00,0.14
